procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,32768,nlohmann/json,serialize int[32768] with nlohmann/json,1.19036e+06,1.18355e+06,1.19786e+06,int
deserialize,32768,nlohmann/json,deserialize int[32768] with nlohmann/json,3.98497e+06,3.97367e+06,3.99706e+06,int
serialize,1,rapidjson,serialize int[1] with rapidjson,161.855,161.445,162.776,int
deserialize,1,rapidjson,deserialize int[1] with rapidjson,483.99,482.569,486.241,int
serialize,32,rapidjson,serialize int[32] with rapidjson,606.028,603.223,613.852,int
deserialize,32,rapidjson,deserialize int[32] with rapidjson,773.135,769.579,780.826,int
serialize,1024,rapidjson,serialize int[1024] with rapidjson,14327.5,13842.3,15498.4,int
deserialize,1024,rapidjson,deserialize int[1024] with rapidjson,19810.6,19743.2,19945.3,int
serialize,32768,rapidjson,serialize int[32768] with rapidjson,466503,463998,469506,int
deserialize,32768,rapidjson,deserialize int[32768] with rapidjson,666686,662672,671333,int
serialize,1,yyjson,serialize int[1] with yyjson,69.2279,65.4411,77.4847,int
deserialize,1,yyjson,deserialize int[1] with yyjson,64.1648,62.2959,70.1823,int
serialize,32,yyjson,serialize int[32] with yyjson,345.867,344.767,348.745,int
deserialize,32,yyjson,deserialize int[32] with yyjson,408.937,407.842,411.501,int
serialize,1024,yyjson,serialize int[1024] with yyjson,9037,9000.05,9151.88,int
deserialize,1024,yyjson,deserialize int[1024] with yyjson,13009,12973.4,13113.8,int
serialize,32768,yyjson,serialize int[32768] with yyjson,294912,293146,297322,int
deserialize,32768,yyjson,deserialize int[32768] with yyjson,499776,496447,504274,int
serialize,1,msgpack-c,serialize double[1] with msgpack-c,45.4676,45.3471,45.7402,double
parse,1,msgpack-c,parse double[1] with msgpack-c,23.9778,23.9198,24.1101,double
deserialize,1,msgpack-c,deserialize double[1] with msgpack-c,137.918,137.606,138.66,double
serialize,32,msgpack-c,serialize double[32] with msgpack-c,330.035,328.709,331.808,double
parse,32,msgpack-c,parse double[32] with msgpack-c,161.768,161.402,162.672,double
deserialize,32,msgpack-c,deserialize double[32] with msgpack-c,359.004,357.021,365.463,double
serialize,1024,msgpack-c,serialize double[1024] with msgpack-c,2777.74,2766.1,2795.56,double
parse,1024,msgpack-c,parse double[1024] with msgpack-c,4366.22,4356.93,4388.3,double
deserialize,1024,msgpack-c,deserialize double[1024] with msgpack-c,7136.15,7032.7,7407.37,double
serialize,32768,msgpack-c,serialize double[32768] with msgpack-c,105897,105696,106510,double
parse,32768,msgpack-c,parse double[32768] with msgpack-c,139302,137730,141891,double
deserialize,32768,msgpack-c,deserialize double[32768] with msgpack-c,220738,220276,221539,double
serialize,1,protobuf,serialize double[1] with protobuf,18.4467,18.4006,18.5538,double
deserialize,1,protobuf,deserialize double[1] with protobuf,103.826,103.516,104.677,double
serialize,32,protobuf,serialize double[32] with protobuf,96.5371,96.2463,97.2071,double
deserialize,32,protobuf,deserialize double[32] with protobuf,124.059,123.478,125.921,double
serialize,1024,protobuf,serialize double[1024] with protobuf,1606.15,1600.14,1619.77,double
deserialize,1024,protobuf,deserialize double[1024] with protobuf,368.631,364.184,386.412,double
serialize,32768,protobuf,serialize double[32768] with protobuf,48692.1,48461.3,49003.8,double
deserialize,32768,protobuf,deserialize double[32768] with protobuf,14954.4,14681.5,15726,double
serialize,1,cereal,serialize double[1] with cereal,67.0469,66.8567,67.5605,double
deserialize,1,cereal,deserialize double[1] with cereal,67.8233,67.6563,68.2278,double
serialize,32,cereal,serialize double[32] with cereal,222.14,220.215,230.632,double
deserialize,32,cereal,deserialize double[32] with cereal,85.2442,84.5974,87.8804,double
serialize,1024,cereal,serialize double[1024] with cereal,970.594,958.958,1024.73,double
deserialize,1024,cereal,deserialize double[1024] with cereal,375.73,352.492,415.505,double
serialize,32768,cereal,serialize double[32768] with cereal,32468.3,32176,33698.9,double
deserialize,32768,cereal,deserialize double[32768] with cereal,18877.6,18650.2,19858,double
serialize,1,nlohmann/json,serialize double[1] with nlohmann/json,225.187,224.117,229.321,double
deserialize,1,nlohmann/json,deserialize double[1] with nlohmann/json,523.12,520.826,529.856,double
serialize,32,nlohmann/json,serialize double[32] with nlohmann/json,3491.18,3477.43,3535.69,double
deserialize,32,nlohmann/json,deserialize double[32] with nlohmann/json,9563.92,9335.09,10527.9,double
serialize,1024,nlohmann/json,serialize double[1024] with nlohmann/json,113164,112391,115128,double
deserialize,1024,nlohmann/json,deserialize double[1024] with nlohmann/json,263180,262734,264564,double
serialize,32768,nlohmann/json,serialize double[32768] with nlohmann/json,3.63005e+06,3.61822e+06,3.64791e+06,double
deserialize,32768,nlohmann/json,deserialize double[32768] with nlohmann/json,1.02202e+07,9.75841e+06,1.0904e+07,double
serialize,1,rapidjson,serialize double[1] with rapidjson,232.162,231.481,233.886,double
deserialize,1,rapidjson,deserialize double[1] with rapidjson,172.381,172.025,173.208,double
serialize,32,rapidjson,serialize double[32] with rapidjson,2313.37,2303.59,2339.2,double
deserialize,32,rapidjson,deserialize double[32] with rapidjson,824.938,822.237,830.827,double
serialize,1024,rapidjson,serialize double[1024] with rapidjson,78289.4,77649.8,81116.5,double
deserialize,1024,rapidjson,deserialize double[1024] with rapidjson,29510.2,29416,29717.7,double
serialize,32768,rapidjson,serialize double[32768] with rapidjson,2.6724e+06,2.66287e+06,2.68269e+06,double
deserialize,32768,rapidjson,deserialize double[32768] with rapidjson,1.05999e+06,1.05405e+06,1.06732e+06,double
deserialize,1,simdjson,deserialize double[1] with simdjson,152.94,151.909,156.306,double
deserialize,32,simdjson,deserialize double[32] with simdjson,905.756,901.174,920.27,double
deserialize,1024,simdjson,deserialize double[1024] with simdjson,23684.3,23541.7,24204.9,double
deserialize,32768,simdjson,deserialize double[32768] with simdjson,921402,914667,931194,double
serialize,1,yyjson,serialize double[1] with yyjson,83.5136,80.8995,88.6424,double
deserialize,1,yyjson,deserialize double[1] with yyjson,161.422,155.584,180.468,double
serialize,32,yyjson,serialize double[32] with yyjson,759.212,757.309,763.945,double
deserialize,32,yyjson,deserialize double[32] with yyjson,1584.53,1504.03,1717.08,double
serialize,1024,yyjson,serialize double[1024] with yyjson,22851.9,22320.9,24044.3,double
deserialize,1024,yyjson,deserialize double[1024] with yyjson,35350.4,34523.4,37748,double
serialize,32768,yyjson,serialize double[32768] with yyjson,746795,742913,751454,double
deserialize,32768,yyjson,deserialize double[32768] with yyjson,1.27471e+06,1.2682e+06,1.28218e+06,double
serialize,1,msgpack-c,serialize struct with msgpack-c,82.2446,81.4073,85.5839,struct
parse,1,msgpack-c,parse struct with msgpack-c,33.255,33.0916,33.7146,struct
deserialize,1,msgpack-c,deserialize struct with msgpack-c,143.059,140.609,151.026,struct
serialize,1,protobuf,serialize struct with protobuf,121.19,118.507,127.713,struct
deserialize,1,protobuf,deserialize struct with protobuf,85.2587,83.167,90.4468,struct
serialize,1,cereal,serialize struct with cereal,428.775,409.591,492.338,struct
deserialize,1,cereal,deserialize struct with cereal,157.533,155.938,164.871,struct
serialize,1,nlohmann/json,serialize struct with nlohmann/json,42349.4,42235,42685.3,struct
deserialize,1,nlohmann/json,deserialize struct with nlohmann/json,84710.4,83869.8,86972,struct
serialize,1,rapidjson,serialize struct with rapidjson,12401.2,12361.8,12505.2,struct
deserialize,1,rapidjson,deserialize struct with rapidjson,15565.7,15474.2,15790.9,struct
deserialize,1,simdjson,deserialize struct with simdjson,9027.17,8962.73,9287.08,struct
serialize,1,yyjson,serialize struct with yyjson,6438.36,6415.17,6506.83,struct
deserialize,1,yyjson,deserialize struct with yyjson,9760.9,9725.76,9858.11,struct
